Customer_ID,Date,Time,UID,Price,Item,Product Model
4000,2012-05-08,0.5965487194758361,6,1,529,V1
4000,2012-05-08,0.6206317702527941,1,1,401k/403b,V1
4000,2012-09-19,0.8189013179220552,7,1,ESA,V1
4000,2012-05-08,0.3638661330918865,6,1,529,V1
4000,2012-05-08,0.9861042806746643,3,1,IRA,V1
4000,2011-07-24,0.9311249942767972,4,1,Roth IRA,V1
4000,2010-08-30,0.9605632917745748,6,1,529,V1
4000,2010-08-30,0.6875529189737052,4,1,Roth IRA,V1
4000,2010-07-03,1.0270832110784711,10,1,IRA,T1
4000,2010-07-03,0.4605885458352277,4,1,Roth IRA,V1
4000,2012-01-19,0.7346213105613937,11,1,Roth IRA,T1
4000,2010-02-21,0.7120791636544656,1,1,401k/403b,V1
4000,2010-07-12,0.5954952190794892,8,1,401k/403b,T1
4000,2011-09-10,0.8340501013152457,1,1,401k/403b,V1
4000,2011-10-13,0.6980693895706426,3,1,IRA,V1
4001,2012-10-05,0.4104858729541566,1,1,401k/403b,V1
4001,2011-05-27,0.6330259427892352,8,1,401k/403b,T1
4001,2011-05-27,0.6415872312058444,8,1,401k/403b,T1
4001,2011-05-27,0.2838129287711183,1,1,401k/403b,V1
4001,2011-05-27,0.3125508257841027,8,1,401k/403b,T1
4001,2011-11-08,0.43356604784332936,9,1,SEP IRA,T1
4001,2011-11-08,0.4011892072889934,3,1,IRA,V1
4001,2012-10-26,0.5696072291838785,11,1,Roth IRA,T1
4001,2010-10-10,0.4409368116906168,1,1,401k/403b,V1
4001,2011-09-15,0.5277370303186201,7,1,ESA,V1
4001,2012-05-12,0.46825967181751876,1,1,401k/403b,V1
4001,2012-05-12,0.31678626976616286,12,1,401k/403b,T2
4001,2012-05-12,0.46512317511352397,5,1,HSA,HSA
4001,2012-12-18,0.35971943088279856,6,1,529,V1
4001,2011-10-03,0.5741978233572247,9,1,SEP IRA,T1
4001,2011-10-03,0.4312474732704067,12,1,401k/403b,T2
4001,2011-01-18,0.648024675475141,2,1,SEP IRA,V1
4001,2011-01-18,0.3473986077796628,6,1,529,V1
4001,2012-09-03,0.4657698742635429,8,1,401k/403b,T1
4001,2012-09-03,0.440102126904268,5,1,HSA,HSA
4001,2012-09-03,0.3797110440248662,6,1,529,V1
4001,2010-09-24,0.5258824930139998,4,1,Roth IRA,V1
4001,2010-09-10,0.5661856862890244,6,1,529,V1
4001,2010-09-10,0.5290561657731477,5,1,HSA,HSA
4001,2010-09-10,0.5780850909843058,5,1,HSA,HSA
4001,2012-12-03,0.35021127380979533,7,1,ESA,V1
4001,2012-03-12,0.4905003797072784,8,1,401k/403b,T1
4001,2010-03-18,0.1609444922187656,1,1,401k/403b,V1
4001,2010-03-18,0.4146376763554656,9,1,SEP IRA,T1
4001,2010-03-18,0.5367577199411794,7,1,ESA,V1
4001,2012-09-05,0.6267364760255847,8,1,401k/403b,T1
4001,2010-11-09,0.29589043009600374,6,1,529,V1
4001,2011-12-12,0.5674143434886919,2,1,SEP IRA,V1
4001,2011-05-20,0.5727260607007333,1,1,401k/403b,V1
